T,P_count_hint,P_count_any,P_ignorant_hint,P_ignorant_any,P_hint_hint,P_hint_any
1,0.25,0.75,0.25,0.75,0.25,0.75
1,0.25,0.75,0.25,0.75,0.30721556498699754,0.6927844350130024
1,0.25,0.75,0.25,0.7500000000000001,0.26402646406589475,0.7359735359341052
1,0.25,0.75,0.25,0.75,0.2965127814428464,0.7034872185571537
1,0.25,0.75,0.25,0.7499999999999999,0.27476193539526533,0.7252380646047347
1,0.25,0.75,0.25,0.75,0.29285680700575367,0.7071431929942463
1,0.25,0.75,0.25,0.7499999999999999,0.2828219712861796,0.7171780287138204
1,0.25,0.75,0.25,0.7499999999999999,0.2926827537950195,0.7073172462049805
1,0.25,0.75,0.24999999999999994,0.7500000000000001,0.28847979708227955,0.7115202029177204
1,0.25,0.75,0.25,0.7500000000000001,0.2939001485653611,0.7060998514346389
1,0.25,0.75,0.24999999999999994,0.75,0.29245678326196034,0.7075432167380397
1,0.25,0.75,0.25000000000000006,0.75,0.2955603489237939,0.7044396510762062
1,0.25,0.75,0.25,0.75,0.2953518281459461,0.7046481718540538
1,0.25,0.75,0.24999999999999997,0.7500000000000001,0.2972474545184823,0.7027525454815177
1,0.25,0.75,0.25,0.75,0.29754534465634463,0.7024546553436554
3,0.25,0.75,0.25,0.75,0.25,0.75
3,0.25,0.75,0.25,0.75,0.28866716205891524,0.7113328379410848
3,0.25,0.75,0.25,0.75,0.2950777788612334,0.7049222211387665
3,0.25,0.75,0.25,0.75,0.3068657277123094,0.6931342722876905
3,0.25,0.75,0.25,0.7500000000000001,0.31275628420659807,0.687243715793402
3,0.25,0.75,0.24999999999999994,0.75,0.31789938836310666,0.6821006116368934
3,0.25,0.75,0.24999999999999994,0.75,0.3216864935636997,0.6783135064363002
3,0.25,0.75,0.24999999999999994,0.75,0.3248951239965487,0.6751048760034514
3,0.25,0.75,0.24999999999999994,0.75,0.32765455890328155,0.6723454410967185
3,0.25,0.75,0.25,0.75,0.3301459828393393,0.6698540171606607
3,0.25,0.75,0.24999999999999994,0.75,0.3324498219119791,0.667550178088021
3,0.25,0.75,0.25,0.75,0.3346243095732595,0.6653756904267405
3,0.25,0.75,0.24999999999999994,0.75,0.3367026609270227,0.6632973390729773
3,0.25,0.75,0.25,0.75,0.3387062398608951,0.6612937601391048
3,0.25,0.75,0.25,0.75,0.34064819506413635,0.6593518049358638
5,0.25,0.75,0.25,0.75,0.25,0.75
5,0.25,0.75,0.25,0.75,0.2757934066688183,0.7242065933311818
5,0.25,0.75,0.25,0.75,0.29136406539948684,0.7086359346005132
5,0.25,0.75,0.24999999999999997,0.7500000000000001,0.30376990685577937,0.6962300931442207
5,0.25,0.75,0.24999999999999997,0.75,0.31363507092268855,0.6863649290773115
5,0.25,0.75,0.25,0.75,0.3215810539495748,0.6784189460504252
5,0.25,0.75,0.25,0.7500000000000001,0.328024325149335,0.671975674850665
5,0.25,0.75,0.25,0.7500000000000001,0.33329061803888554,0.6667093819611145
5,0.25,0.75,0.24999999999999997,0.75,0.3376334342461405,0.6623665657538595
5,0.25,0.75,0.25,0.75,0.3412509506413369,0.6587490493586631
5,0.25,0.75,0.25,0.7500000000000001,0.34429826475393427,0.6557017352460657
5,0.25,0.75,0.24999999999999997,0.75,0.34689688590450907,0.653103114095491
5,0.25,0.75,0.24999999999999997,0.75,0.3491420845748107,0.6508579154251892
5,0.25,0.75,0.24999999999999997,0.75,0.3511086058788234,0.6488913941211766
5,0.25,0.75,0.24999999999999997,0.75,0.35285512139101916,0.6471448786089807
7,0.25,0.75,0.25,0.75,0.25,0.75
7,0.25,0.75,0.25,0.75,0.2669974426859048,0.7330025573140952
7,0.25,0.75,0.25,0.75,0.28032576583523566,0.7196742341647644
7,0.25,0.75,0.25,0.75,0.29160047924272003,0.70839952075728
7,0.25,0.75,0.25,0.75,0.30140735178703093,0.6985926482129692
7,0.25,0.75,0.25,0.75,0.3100262604928543,0.6899737395071456
7,0.25,0.75,0.25,0.75,0.31762949170660154,0.6823705082933984
7,0.25,0.75,0.25,0.75,0.32434824627691866,0.6756517537230813
7,0.25,0.75,0.25,0.7499999999999999,0.3302924270271784,0.6697075729728216
7,0.25,0.75,0.25,0.75,0.3355570374154452,0.6644429625845547
7,0.25,0.75,0.25,0.75,0.3402249750028782,0.6597750249971219
7,0.25,0.75,0.25000000000000006,0.75,0.34436878964004636,0.6556312103599536
7,0.25,0.75,0.25000000000000006,0.75,0.34805205234907227,0.6519479476509278
7,0.25,0.75,0.25000000000000006,0.7499999999999999,0.3513305061959196,0.6486694938040805
7,0.25,0.75,0.25,0.75,0.35425305647300015,0.6457469435269999
9,0.25,0.75,0.25,0.75,0.25,0.75
9,0.25,0.75,0.25,0.75,0.2610643536264465,0.7389356463735536
9,0.25,0.75,0.25,0.7500000000000001,0.270638467960734,0.7293615320392659
9,0.25,0.75,0.25,0.75,0.27922458604303335,0.7207754139569666
9,0.25,0.75,0.25,0.75,0.28709149121133454,0.7129085087886654
9,0.25,0.75,0.25,0.75,0.2943737398538379,0.705626260146162
9,0.25,0.75,0.25,0.75,0.3011430760431342,0.6988569239568658
9,0.25,0.75,0.25,0.75,0.3074457505052806,0.6925542494947193
9,0.25,0.75,0.25,0.7500000000000001,0.31331773510058775,0.6866822648994123
9,0.25,0.75,0.25,0.75,0.3187901961371725,0.6812098038628275
9,0.25,0.75,0.24999999999999997,0.7500000000000001,0.32389138287825153,0.6761086171217484
9,0.25,0.75,0.24999999999999994,0.7500000000000001,0.3286473171861996,0.6713526828138003
9,0.25,0.75,0.24999999999999997,0.75,0.33308210036104235,0.6669178996389576
9,0.25,0.75,0.24999999999999997,0.7500000000000001,0.3372180971245294,0.6627819028754706
9,0.25,0.75,0.24999999999999997,0.7500000000000001,0.34107607625348096,0.658923923746519
11,0.25,0.75,0.25,0.75,0.25,0.75
11,0.25,0.75,0.25,0.75,0.257117803597726,0.742882196402274
11,0.25,0.75,0.25,0.7500000000000001,0.2635567769706654,0.7364432230293346
11,0.25,0.75,0.25,0.75,0.26952906694771633,0.7304709330522836
11,0.25,0.75,0.25,0.75,0.27516828176368147,0.7248317182363185
11,0.25,0.75,0.25,0.75,0.2805447268908316,0.7194552731091683
11,0.25,0.75,0.25,0.75,0.2856931822706252,0.7143068177293748
11,0.25,0.75,0.24999999999999997,0.75,0.29063217797949736,0.7093678220205026
11,0.25,0.75,0.25,0.75,0.2953735517452127,0.7046264482547874
11,0.25,0.75,0.24999999999999997,0.75,0.2999264589187076,0.7000735410812923
11,0.25,0.75,0.24999999999999997,0.7500000000000001,0.30429890491904077,0.6957010950809592
11,0.25,0.75,0.24999999999999997,0.7500000000000001,0.3084983019595539,0.6915016980404461
11,0.25,0.75,0.25,0.75,0.31253166884341005,0.68746833115659
11,0.25,0.75,0.25,0.75,0.31640570607034973,0.6835942939296502
11,0.25,0.75,0.25,0.75,0.3201268285553318,0.6798731714446682
13,0.25,0.75,0.25,0.75,0.25,0.75
13,0.25,0.75,0.25,0.75,0.25453027600544675,0.7454697239945532
13,0.25,0.75,0.25,0.7500000000000001,0.2587193558318179,0.7412806441681822
13,0.25,0.75,0.25000000000000006,0.7499999999999999,0.262677461490874,0.737322538509126
13,0.25,0.75,0.25000000000000006,0.75,0.26647901462834783,0.7335209853716522
13,0.25,0.75,0.25,0.75,0.2701644822504815,0.7298355177495184
13,0.25,0.75,0.25,0.75,0.2737534269129867,0.7262465730870132
13,0.25,0.75,0.25,0.75,0.2772550969399515,0.7227449030600486
13,0.25,0.75,0.25000000000000006,0.75,0.28067425397376017,0.7193257460262399
13,0.25,0.75,0.25,0.75,0.2840138422235106,0.7159861577764894
13,0.25,0.75,0.24999999999999997,0.75,0.287276090383203,0.712723909616797
13,0.25,0.75,0.25000000000000006,0.7499999999999999,0.29046293832844194,0.7095370616715581
13,0.25,0.75,0.25000000000000006,0.75,0.2935761957788728,0.7064238042211272
13,0.25,0.75,0.25,0.75,0.2966175999585998,0.7033824000414002
13,0.25,0.75,0.25,0.75,0.29958883651657475,0.7004111634834251
15,0.25,0.75,0.25,0.75,0.25,0.75
15,0.25,0.75,0.25,0.75,0.252856813515992,0.747143186484008
15,0.25,0.75,0.25,0.7499999999999999,0.2555288142880951,0.7444711857119048
15,0.25,0.75,0.25,0.75,0.25807945453364256,0.7419205454663574
15,0.25,0.75,0.25,0.75,0.26055291457521845,0.7394470854247817
15,0.25,0.75,0.25000000000000006,0.7499999999999999,0.26297374222591846,0.7370262577740816
15,0.25,0.75,0.25,0.7499999999999999,0.2653538246853333,0.7346461753146667
15,0.25,0.75,0.25,0.75,0.26769853340895294,0.732301466591047
15,0.25,0.75,0.25,0.75,0.27001029720304,0.7299897027969601
15,0.25,0.75,0.25000000000000006,0.7499999999999999,0.2722903183357463,0.7277096816642538
15,0.25,0.75,0.25000000000000006,0.7499999999999999,0.2745393124124919,0.725460687587508
15,0.25,0.75,0.25000000000000006,0.7499999999999999,0.2767578066980492,0.7232421933019507
15,0.25,0.75,0.25,0.75,0.2789462551975726,0.7210537448024275
15,0.25,0.75,0.25,0.75,0.28110508172049453,0.7188949182795055
15,0.25,0.75,0.25000000000000006,0.7499999999999999,0.28323469566423026,0.7167653043357698
17,0.25,0.75,0.25,0.75,0.25,0.75
17,0.25,0.75,0.25,0.75,0.2517875639147921,0.7482124360852079
17,0.25,0.75,0.25,0.7500000000000001,0.25346983704779713,0.7465301629522029
17,0.25,0.75,0.25,0.75,0.25508492950008727,0.7449150704999128
17,0.25,0.75,0.25,0.7500000000000001,0.2566597678214692,0.7433402321785308
17,0.25,0.75,0.25,0.75,0.258209523239788,0.741790476760212
17,0.25,0.75,0.24999999999999997,0.75,0.25974160069281604,0.740258399307184
17,0.25,0.75,0.25,0.75,0.2612593135831886,0.7387406864168115
17,0.25,0.75,0.25,0.75,0.26276408596034745,0.7372359140396525
17,0.25,0.75,0.25,0.7500000000000001,0.2642565383111248,0.7357434616888752
17,0.25,0.75,0.25,0.75,0.26573696715178036,0.7342630328482197
17,0.25,0.75,0.25000000000000006,0.75,0.2672055428880176,0.7327944571119824
17,0.25,0.75,0.24999999999999997,0.7500000000000001,0.2686623878372886,0.7313376121627114
17,0.25,0.75,0.25,0.75,0.27010760604106826,0.7298923939589318
17,0.25,0.75,0.25,0.75,0.2715412943986157,0.7284587056013844
19,0.25,0.75,0.25,0.75,0.25,0.75
19,0.25,0.75,0.25,0.75,0.2511113847645968,0.7488886152354032
19,0.25,0.75,0.25,0.7499999999999999,0.2521608943753189,0.7478391056246811
19,0.25,0.75,0.25,0.7499999999999999,0.2531717760436372,0.7468282239563628
19,0.25,0.75,0.25,0.75,0.2541605794333387,0.7458394205666613
19,0.25,0.75,0.25000000000000006,0.75,0.25513671128135,0.7448632887186499
19,0.25,0.75,0.25,0.75,0.2561047964105527,0.7438952035894473
19,0.25,0.75,0.24999999999999997,0.75,0.25706690668349225,0.7429330933165077
19,0.25,0.75,0.25,0.75,0.25802391973927724,0.7419760802607227
19,0.25,0.75,0.25000000000000006,0.75,0.2589761990088383,0.7410238009911616
19,0.25,0.75,0.25,0.75,0.2599238982535883,0.7400761017464117
19,0.25,0.75,0.25,0.7499999999999999,0.260867088862123,0.7391329111378769
19,0.25,0.75,0.25000000000000006,0.75,0.2618058106853036,0.7381941893146964
19,0.25,0.75,0.25000000000000006,0.7499999999999999,0.26274009170047435,0.7372599082995256
19,0.25,0.75,0.25,0.7499999999999999,0.2636699554434442,0.7363300445565558
21,0.25,0.75,0.25,0.75,0.25,0.75
21,0.25,0.75,0.25,0.75,0.2506874130691562,0.7493125869308438
21,0.25,0.75,0.25000000000000006,0.75,0.25133781450314935,0.7486621854968507
21,0.25,0.75,0.25,0.75,0.2519654506892785,0.7480345493107216
21,0.25,0.75,0.24999999999999997,0.75,0.25258050563042506,0.747419494369575
21,0.25,0.75,0.24999999999999997,0.75,0.25318879934437155,0.7468112006556284
21,0.25,0.75,0.25,0.75,0.2537932082735119,0.7462067917264881
21,0.25,0.75,0.24999999999999997,0.75,0.25439502518743623,0.7456049748125638
21,0.25,0.75,0.25,0.75,0.25499479641299305,0.745005203587007
21,0.25,0.75,0.25,0.75,0.2555927445129716,0.7444072554870284
21,0.25,0.75,0.25000000000000006,0.75,0.256188959108014,0.7438110408919861
21,0.25,0.75,0.24999999999999997,0.75,0.2567834772499328,0.7432165227500672
21,0.25,0.75,0.24999999999999997,0.75,0.25737631575471454,0.7426236842452856
21,0.25,0.75,0.24999999999999997,0.7500000000000001,0.25796748379951473,0.7420325162004853
21,0.25,0.75,0.25000000000000006,0.75,0.2585569877171789,0.7414430122828211
23,0.25,0.75,0.25,0.75,0.25,0.75
23,0.25,0.75,0.25,0.75,0.25042341629493897,0.749576583705061
23,0.25,0.75,0.25,0.75,0.25082448161224374,0.7491755183877563
23,0.25,0.75,0.25,0.75,0.2512119300146254,0.7487880699853746
23,0.25,0.75,0.25,0.7500000000000001,0.2515920197732005,0.7484079802267994
23,0.25,0.75,0.24999999999999997,0.7500000000000001,0.25196833930886114,0.7480316606911388
23,0.25,0.75,0.25000000000000006,0.75,0.2523426682734286,0.7476573317265713
23,0.25,0.75,0.25,0.75,0.25271580874961863,0.7472841912503813
23,0.25,0.75,0.24999999999999997,0.7500000000000001,0.2530880999857911,0.7469119000142089
23,0.25,0.75,0.25,0.75,0.2534596796037947,0.7465403203962053
23,0.25,0.75,0.25,0.75,0.2538306020856344,0.7461693979143657
23,0.25,0.75,0.25,0.75,0.25420088890441905,0.745799111095581
23,0.25,0.75,0.25,0.75,0.2545705487786989,0.745429451221301
23,0.25,0.75,0.25,0.75,0.2549395855968851,0.7450604144031149
23,0.25,0.75,0.25,0.75,0.25530800144584653,0.7446919985541536
